N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
79,2158.1224300331023,2187.0411901008115,-28.918760067709172,-0.013222777969890985,0.013222777969890985,0.38391021691158617,0.0007177808128564181,0.0001364845143266254,0.9999992846269911
80,2158.629631882697,2187.0411901008115,-28.41155821811435,-0.012990865625537086,0.012990865625537086,0.3776007643532001,0.0007059842943306288,0.00023501996111825857,0.999999307947663
81,2159.372353797333,2187.0411901008115,-27.668836303478656,-0.012651264378885915,0.012651264378885915,0.3692216417702993,0.0006903182006617458,0.00034407102713026005,0.999999338320761
82,2160.439193798822,2187.0411901008115,-26.601996301989402,-0.012163463780379549,0.012163463780379549,0.35388328096453514,0.0006616407114935377,0.0004940509679181444,0.999999392154368
83,2161.1920601179168,2187.0411901008115,-25.849129982894738,-0.01181922411882111,0.01181922411882111,0.34444353645401554,0.000643991617540203,0.00034847836553587847,0.9999994241501088
84,2161.741894642656,2187.0411901008115,-25.299295458155484,-0.011567818462984374,0.011567818462984374,0.3338770309224628,0.0006242358658165221,0.0002544126155586811,0.9999994589389193
85,2161.99317280732,2187.0411901008115,-25.048017293491284,-0.011452924346768567,0.011452924346768567,0.3280720948165597,0.0006133826205181969,0.00011623874491535306,0.9999994775896248
86,2162.091035511214,2187.0411901008115,-24.950154589597332,-0.011408177725471763,0.011408177725471763,0.3264771271475117,0.0006104005764372168,4.526503835665618e-05,0.9999994826568174
87,2162.2091610572984,2187.0411901008115,-24.832029043513103,-0.011354166147354761,0.011354166147354761,0.3235041090888958,0.0006048420494047321,5.463486233654325e-05,0.9999994920361421
88,2162.416875012871,2187.0411901008115,-24.62431508794043,-0.01125919127604788,0.01125919127604788,0.3209276665036568,0.0006000249828833255,9.606561627511636e-05,0.9999995000949466
89,2163.1969807471687,2187.0411901008115,-23.844209353642782,-0.010902496698081706,0.010902496698081706,0.31260610540537026,0.000584466509505322,0.00036075640331515905,0.999999525683621
90,2164.4806750664325,2187.0411901008115,-22.560515034379023,-0.010315541900396992,0.010315541900396992,0.2920889327920898,0.0005461064133496433,0.0005934246075086379,0.999999585901732
91,2164.9353617054276,2187.0411901008115,-22.105828395383924,-0.010107641545774891,0.010107641545774891,0.28278883269068195,0.000528718406684606,0.00021006731278907996,0.9999996118516712
92,2164.9850136952364,2187.0411901008115,-22.056176405575115,-0.01008493873156474,0.01008493873156474,0.28224382272794873,0.000527699424441277,2.2934629221306075e-05,0.9999996133463614
93,2165.122230222938,2187.0411901008115,-21.918959877873476,-0.01002219801670179,0.01002219801670179,0.28098648834700846,0.0005253486391424543,6.337989724346201e-05,0.9999996167836027
94,2165.2981166956442,2187.0411901008115,-21.74307340516725,-0.009941775904168044,0.009941775904168044,0.2781806325068313,0.0005201026482909419,8.123627860405551e-05,0.999999624398783
95,2165.590955356871,2187.0411901008115,-21.450234743940655,-0.00980787871807385,0.00980787871807385,0.27440964137523105,0.00051305218450936,0.00013524172905737502,0.9999996345129928
96,2165.823322178848,2187.0411901008115,-21.217867921963716,-0.009701631600722472,0.009701631600722472,0.27144610005287956,0.0005075113757327577,0.0001072994978124328,0.9999996423646637
97,2166.0843109468906,2187.0411901008115,-20.95687915392091,-0.009582297420267106,0.009582297420267106,0.26816542930492343,0.0005013776433847995,0.00012050325867774343,0.999999650957115
98,2166.347501975557,2187.0411901008115,-20.69368812525454,-0.00946195628089687,0.00946195628089687,0.26461849581342767,0.0004947460907651416,0.0001215054406406357,0.9999996601293963
99,2166.3700820733366,2187.0411901008115,-20.67110802747493,-0.009451631785006343,0.009451631785006343,0.2644108816279554,0.0004943579232399123,1.0423118986689957e-05,0.9999996606624979
100,2166.4604787842404,2187.0411901008115,-20.58071131657107,-0.009410298905080248,0.009410298905080248,0.2621313475367741,0.0004900959740631889,4.172727072437489e-05,0.9999996664882569
101,2166.557128656424,2187.0411901008115,-20.484061444387407,-0.00936610683744973,0.00936610683744973,0.26064910023437265,0.00048732467851880134,4.46118787442173e-05,0.9999996702493424
102,2166.7763006035834,2187.0411901008115,-20.26488949722807,-0.009265892928287263,0.009265892928287263,0.2581085488736554,0.0004825747163128748,0.0001011613976204065,0.9999996766461856
103,2167.26556346321,2187.0411901008115,-19.775626637601363,-0.009042182985447022,0.009042182985447022,0.25221097980042756,0.00047154827904503504,0.00022580220186570042,0.9999996912541074
104,2167.948517629944,2187.0411901008115,-19.092672470867456,-0.00872990986968443,0.00872990986968443,0.24283139419157349,0.00045401166166417976,0.00031512251117143746,0.99999971379127
105,2168.024643077374,2187.0411901008115,-19.016547023437397,-0.008695102364560784,0.008695102364560784,0.24177131897593535,0.0004520296835441629,3.5114047594303955e-05,0.9999997162846915
