N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
22,1925.549157554939,2035.6185215208232,-110.06936396588412,-0.0540717048907821,0.0540717048907821,2.4900190830406195,0.0038014310241177287,0.0030805184741063254,0.9999804495589072
23,1937.2699760812066,2035.6185215208232,-98.3485454396166,-0.04831383896337306,0.04831383896337306,2.142042035415803,0.0032701858005242798,0.0060870004176629845,0.9999855320437199
24,1953.5921953830198,2035.6185215208232,-82.02632613780338,-0.040295529476967525,0.040295529476967525,1.7261778904409042,0.002635299556762916,0.008425371529697946,0.9999906044478211
25,1957.6552346053131,2035.6185215208232,-77.96328691551003,-0.03829955666608063,0.03829955666608063,1.606466474651771,0.002452540037761091,0.0020797785903811715,0.9999918624336475
26,1958.976115051226,2035.6185215208232,-76.64240646959706,-0.037650672588858666,0.037650672588858666,1.5822790371377513,0.0024156138647907924,0.0006747257752866111,0.9999921056321688
27,1962.4038799877583,2035.6185215208232,-73.21464153306488,-0.03596677902024873,0.03596677902024873,1.4769759273698382,0.0022548510372549482,0.001749773726282799,0.9999931214318676
28,1963.1996121325087,2035.6185215208232,-72.41890938831443,-0.03557587466546031,0.03557587466546031,1.4517434255618678,0.002216329398669032,0.0004054884689462647,0.9999933544497649
29,1967.0318116138612,2035.6185215208232,-68.58670990696191,-0.033693302149619055,0.033693302149619055,1.3713038374116777,0.0020935248996818263,0.001952017236387809,0.999994070492919
30,1967.7989862109575,2035.6185215208232,-67.81953530986561,-0.033316426723803444,0.033316426723803444,1.3395182023862002,0.0020449988060747106,0.0003900163650464137,0.9999943421888344
31,1968.0378062966054,2035.6185215208232,-67.58071522421778,-0.033199106075006535,0.033199106075006535,1.3138716103736143,0.002005844989461995,0.00012136406580210931,0.9999945567652223
32,1970.0935297319184,2035.6185215208232,-65.5249917889048,-0.03218922951238952,0.03218922951238952,1.268267808905623,0.0019362231512604845,0.0010445548498793239,0.999994928071202
33,1972.3883734335732,2035.6185215208232,-63.23014808724997,-0.03106188483685555,0.03106188483685555,1.1967521776665662,0.001827042566600251,0.0011648399768954619,0.999995483940427
34,1973.501791841904,2035.6185215208232,-62.11672967891923,-0.030514916730326976,0.030514916730326976,1.1661900767594184,0.0017803844026761503,0.000564502621962065,0.9999957116532688
35,1975.1138440007758,2035.6185215208232,-60.50467752004738,-0.029722994205635327,0.029722994205635327,1.1443870335222306,0.0017470984067789557,0.000816848591440746,0.9999958705038444
36,1976.5667503015284,2035.6185215208232,-59.05177121929478,-0.02900925227148004,0.02900925227148004,1.097989442431872,0.0016762647158179052,0.000735606357661696,0.9999961985652724
37,1981.85373054124,2035.6185215208232,-53.76479097958304,-0.026412016991973052,0.026412016991973052,0.9982064614468261,0.001523929289082015,0.0026748301006809918,0.9999968581028605
38,1985.428543915846,2035.6185215208232,-50.18997760497723,-0.0246558857046948,0.0246558857046948,0.9087787855018131,0.0013874029692367092,0.0018037725587495986,0.9999973958405625
39,1985.8047614549941,2035.6185215208232,-49.813760065829,-0.024471068394785894,0.024471068394785894,0.8909195959690991,0.0013601379263229194,0.0001894893373529413,0.9999974971879788
40,1987.2706622717233,2035.6185215208232,-48.34785924909988,-0.02375094288932825,0.02375094288932825,0.8734162337318179,0.0013334161133503374,0.0007381897985051944,0.9999975945644303
41,1988.4998442434771,2035.6185215208232,-47.11867727734602,-0.023147105795708407,0.023147105795708407,0.83525664923801,0.0012751591187151535,0.0006185277099339535,0.9999978001600104
42,1990.7647043660713,2035.6185215208232,-44.85381715475182,-0.022034490588757887,0.022034490588757887,0.7912798581852994,0.0012080211843163633,0.0011389792808637932,0.9999980257077923
43,1990.9814604474343,2035.6185215208232,-44.63706107338885,-0.021928008908093558,0.021928008908093558,0.784283392290725,0.0011973399077382179,0.00010888081393425954,0.9999980604666723
44,1993.2033364676631,2035.6185215208232,-42.41518505316003,-0.020836509692135925,0.020836509692135925,0.7311053326041795,0.0011161546962385675,0.0011159702209027583,0.9999983145684761
45,1994.587918373256,2035.6185215208232,-41.03060314756726,-0.02015633219770129,0.02015633219770129,0.7099920296053215,0.0010839217042956106,0.0006946516094271201,0.9999984105086969
46,1995.209754789333,2035.6185215208232,-40.40876673149023,-0.019850854324758548,0.019850854324758548,0.7002100448264952,0.0010689878667724583,0.00031176184832413275,0.9999984540057204
47,1996.9008314426055,2035.6185215208232,-38.71769007821763,-0.019020110923971847,0.019020110923971847,0.6595828830945861,0.0010069637023468042,0.0008475683567671599,0.9999986282026401
48,1998.8988667722047,2035.6185215208232,-36.719654748618495,-0.018038573711338123,0.018038573711338123,0.6257545732701979,0.0009553191236623451,0.0010005681294427168,0.9999987653061815
49,2000.3121939144305,2035.6185215208232,-35.30632760639264,-0.01734427508549837,0.01734427508549837,0.5889074992912052,0.0008990658960763704,0.000707052850806842,0.999998906433044
50,2001.4653620262698,2035.6185215208232,-34.15315949455339,-0.016777779890230788,0.016777779890230788,0.5645409045061144,0.0008618662095362016,0.0005764940669499214,0.9999989950555899
51,2001.7032029042668,2035.6185215208232,-33.915318616556306,-0.01666094027834742,0.01666094027834742,0.559605723234012,0.0008543318290468338,0.00011883337204312064,0.9999990125491129
52,2001.7694043425863,2035.6185215208232,-33.84911717823684,-0.016628418743678926,0.016628418743678926,0.5546238183316187,0.0008467261171130778,3.3072554524275034e-05,0.9999990300524684
53,2002.857548892241,2035.6185215208232,-32.76097262858207,-0.01609386645003905,0.01609386645003905,0.5325473963534144,0.0008130227627970213,0.0005435913583723374,0.9999991057318963
54,2003.0858685922635,2035.6185215208232,-32.53265292855963,-0.015981704128067317,0.015981704128067317,0.5268022245984719,0.0008042517962221572,0.00011399697404776502,0.9999991249227167
55,2004.3692094266426,2035.6185215208232,-31.249312094180596,-0.01535126142929474,0.01535126142929474,0.5015133802886705,0.0007656441413739979,0.0006406818871329484,0.9999992069213511
56,2004.839449418618,2035.6185215208232,-30.77907210220519,-0.015120255478521563,0.015120255478521563,0.4932611706634993,0.0007530457617469864,0.00023460747139990155,0.9999992328062293
57,2005.098644370314,2035.6185215208232,-30.519877150509046,-0.014992925652743353,0.014992925652743353,0.4818853628549499,0.0007356786865215974,0.00012928464260382978,0.9999992677849029
58,2005.1627738740203,2035.6185215208232,-30.45574764680282,-0.014961421958397756,0.014961421958397756,0.4783195637165475,0.0007302348971294525,3.1983216330170013e-05,0.9999992785811297
59,2006.0349159987309,2035.6185215208232,-29.583605522092284,-0.014532981110817458,0.014532981110817458,0.460021875674077,0.000702300412824482,0.0004349482925146954,0.9999993327198924
60,2007.0435528241387,2035.6185215208232,-28.574968696684437,-0.014037487080504603,0.014037487080504603,0.4404245328962239,0.0006723817879699972,0.0005028012311070292,0.9999993883623458
61,2007.8436516864151,2035.6185215208232,-27.774869834408037,-0.013644437570580396,0.013644437570580396,0.4279847310305609,0.0006533903476761891,0.00039864549085174043,0.9999994224258342
62,2008.136522331652,2035.6185215208232,-27.48199918917112,-0.013500564520624989,0.013500564520624989,0.4154022612070272,0.0006341811008583703,0.0001458632722677042,0.9999994558872262
63,2008.429792513938,2035.6185215208232,-27.18872900688507,-0.013356495197622883,0.013356495197622883,0.406394338563995,0.0006204289987836101,0.00014604095838341416,0.9999994792293406
64,2009.122577920542,2035.6185215208232,-26.49594360028118,-0.01301616354938935,0.01301616354938935,0.39198066772926654,0.0005984241170316,0.00034493882195241394,0.9999995155148098
65,2009.3478974913521,2035.6185215208232,-26.270624029471037,-0.01290547504443224,0.01290547504443224,0.38663982953310366,0.0005902704333301505,0.00011214824485390561,0.9999995286273389
66,2009.3933576886998,2035.6185215208232,-26.22516383212337,-0.012883142668858401,0.012883142668858401,0.3851322167780674,0.0005879688100460621,2.262435360468047e-05,0.9999995322961897
67,2009.6461529891328,2035.6185215208232,-25.972368531690336,-0.012758956679312497,0.012758956679312497,0.37848577590808496,0.0005778219052712351,0.0001258067761922996,0.9999995482997462
68,2010.691142568598,2035.6185215208232,-24.927378952225126,-0.012245604315685695,0.012245604315685695,0.3591084840541031,0.0005482392249942789,0.0005199868533626676,0.9999995933670751
69,2010.8952806856255,2035.6185215208232,-24.723240835197657,-0.012145321224885874,0.012145321224885874,0.35552318519756515,0.0005427656660176407,0.00010152634221419438,0.9999996014460979
70,2010.9403698091546,2035.6185215208232,-24.678151711668534,-0.012123171139763128,0.012123171139763128,0.35219166912414623,0.0005376795489492621,2.2422412525504746e-05,0.9999996088805921
71,2011.0329862120866,2035.6185215208232,-24.585535308736553,-0.012077673222568513,0.012077673222568513,0.3481108325613955,0.0005314494686982098,4.6056265179444546e-05,0.9999996178918639
72,2011.5273425622531,2035.6185215208232,-24.091178958570026,-0.011834820082385258,0.011834820082385258,0.34204223090993036,0.0005221847322357402,0.00024582209916789057,0.9999996310982886
73,2012.6085159823708,2035.6185215208232,-23.010005538452333,-0.011303692364353914,0.011303692364353914,0.321931491513258,0.0004914823214867019,0.0005374888012909191,0.9999996732029461
74,2013.0173374381116,2035.6185215208232,-22.601184082711598,-0.011102858341957959,0.011102858341957959,0.3156029382924745,0.0004818207254310245,0.00020313014304283928,0.9999996859250604
75,2013.0767491507208,2035.6185215208232,-22.541772370102308,-0.01107367226805404,0.01107367226805404,0.3142214442477811,0.00047971164347382177,2.9513761011567165e-05,0.9999996886686535
76,2013.3710022729153,2035.6185215208232,-22.247519247907803,-0.01092912007466239,0.01092912007466239,0.30937088293784837,0.00047230644952428507,0.00014617084138428624,0.9999996982063604
77,2013.675637989559,2035.6185215208232,-21.942883531264215,-0.010779467419499873,0.010779467419499873,0.30421991245896884,0.000464442630682055,0.00015130629988197993,0.9999997081723194
78,2014.2445317566212,2035.6185215208232,-21.37398976420195,-0.010499997685339055,0.010499997685339055,0.29528043106331825,0.000450795015630265,0.0002825150964383934,0.9999997250710069
79,2014.3863771800955,2035.6185215208232,-21.2321443407277,-0.010430315953730385,0.010430315953730385,0.291774447209894,0.0004454425442852712,7.0421153558028e-05,0.9999997315609341
80,2014.7256254072076,2035.6185215208232,-20.892896113615507,-0.010263659861969764,0.010263659861969764,0.2841088143171587,0.00043373967224850056,0.0001684126893208547,0.999999745480756
