N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
29,2082.6662540434386,2187.0411901008115,-104.3749360573729,-0.04772426625058751,0.04772426625058751,1.8267732129439032,0.0034154411733021885,0.00010748449798642615,0.9999838027054756
30,2084.3552986182062,2187.0411901008115,-102.68589148260526,-0.046951969605049805,0.046951969605049805,1.7904044386923006,0.0033474440031437324,0.0008110010768592502,0.9999844412213709
31,2088.751219700571,2187.0411901008115,-98.28997040024069,-0.04494198410397109,0.04494198410397109,1.687883011121829,0.0031557639947065496,0.0021090075599293364,0.999986172047029
32,2089.467821624563,2187.0411901008115,-97.57336847624856,-0.04461432592943113,0.04461432592943113,1.6624626950947083,0.003108236697184234,0.00034307672317953545,0.9999865854216192
33,2094.9097643250298,2187.0411901008115,-92.13142577578174,-0.042126058801633705,0.042126058801633705,1.5357922810983606,0.002871406342799327,0.0026044635117834503,0.999988551774615
34,2097.1034105532663,2187.0411901008115,-89.93777954754523,-0.041123038722192314,0.041123038722192314,1.468285204633241,0.00274519119643386,0.0010471316070949173,0.9999895360885667
35,2097.7755926275295,2187.0411901008115,-89.26559747328201,-0.04081569102462461,0.04081569102462461,1.4385810854878327,0.002689654652090511,0.0003205288165002227,0.9999899551859446
36,2101.0058208766395,2187.0411901008115,-86.03536922417197,-0.03933870546818836,0.03933870546818836,1.4020387124648703,0.0026213329115983455,0.0015398349854304863,0.9999904590148336
37,2102.1488092129994,2187.0411901008115,-84.89238088781212,-0.038816086899533433,0.038816086899533433,1.3854861851541882,0.002590385346296572,0.0005440195952826728,0.999990682967521
38,2103.5692080917634,2187.0411901008115,-83.47198200904813,-0.038166625478690916,0.038166625478690916,1.3596276456886223,0.002542038720811613,0.0006756890247440465,0.9999910275058631
39,2104.930335459703,2187.0411901008115,-82.11085464110829,-0.037544265289911345,0.037544265289911345,1.3293357575916054,0.002485403249538808,0.0006470561380647799,0.9999914228583229
40,2105.7984915477277,2187.0411901008115,-81.24269855308376,-0.03714731067746323,0.03714731067746323,1.3149783588225876,0.0024585598239018638,0.0004124393446184691,0.9999916071314542
41,2106.749316043635,2187.0411901008115,-80.2918740571763,-0.03671255686477275,0.03671255686477275,1.2997405063373646,0.002430070250920407,0.0004515268197426687,0.9999918005160939
42,2107.2038644074314,2187.0411901008115,-79.83732569338008,-0.036504719734931,0.036504719734931,1.2635856673923134,0.0023624730666218494,0.00021575816369545032,0.9999922503410159
43,2109.0872617576283,2187.0411901008115,-77.95392834318318,-0.03564355746751614,0.03564355746751614,1.2266266576189633,0.0022933723578913157,0.0008937898140797748,0.9999926970553775
44,2115.6361260636786,2187.0411901008115,-71.40506403713289,-0.032649162878291046,0.032649162878291046,1.127474692815613,0.002107992092512106,0.003105070342415672,0.9999938299765443
45,2122.0724828182283,2187.0411901008115,-64.96870728258318,-0.029706211102310538,0.029706211102310538,1.0142184259767912,0.0018962416058315849,0.003042279660125249,0.9999950072915882
46,2124.4588107832355,2187.0411901008115,-62.58237931757594,-0.028615089464634733,0.028615089464634733,0.9721903915882524,0.0018176635546173076,0.0011245270763975347,0.9999954125023057
47,2126.235006546921,2187.0411901008115,-60.806183553890605,-0.027802943917616726,0.027802943917616726,0.9435233200512745,0.0017640659346436671,0.0008360697579401396,0.9999956790574988
48,2127.350050873335,2187.0411901008115,-59.69113922747647,-0.027293102433395416,0.027293102433395416,0.9263051623345718,0.0017318738681203864,0.0005244219585232991,0.9999958353224792
49,2129.5227256383378,2187.0411901008115,-57.51846446247373,-0.02629967131978087,0.02629967131978087,0.8925824957368027,0.0016688240143369767,0.0010213057151129393,0.99999613303767
50,2130.808928215358,2187.0411901008115,-56.23226188545368,-0.025711569649432008,0.025711569649432008,0.8762830855217216,0.001638349691440914,0.0006039863118316813,0.9999962729770455
51,2134.464311101322,2187.0411901008115,-52.57687899948951,-0.024040186914388192,0.024040186914388192,0.8154377702612265,0.0015245897602842989,0.001715490693492499,0.9999967725846717
52,2136.169466770049,2187.0411901008115,-50.87172333076251,-0.023260523652239753,0.023260523652239753,0.7722365897287042,0.0014438183269829235,0.0007988682030702079,0.9999971054972894
53,2137.4792405191165,2187.0411901008115,-49.56194958169499,-0.02266164432843189,0.02266164432843189,0.7440324586436674,0.001391086247334236,0.0006131413117929888,0.9999973130661515
54,2141.5170615046172,2187.0411901008115,-45.52412859619426,-0.020815396071299338,0.020815396071299338,0.6688484955712085,0.0012505179484177612,0.0018890574041411925,0.9999978286555694
55,2141.944417148883,2187.0411901008115,-45.096772951928415,-0.02061999250679393,0.02061999250679393,0.6578239064385506,0.0012299057370192049,0.00019955743148064722,0.9999978996459195
56,2142.6189040155377,2187.0411901008115,-44.422286085273754,-0.020311590968813034,0.020311590968813034,0.6453859564538104,0.001206651024180004,0.00031489466358443715,0.9999979783208509
57,2143.378412487298,2187.0411901008115,-43.6627776135133,-0.01996431425761152,0.01996431425761152,0.6385609801624336,0.001193890652576561,0.00035447669687644424,0.9999980208534021
58,2143.537105400367,2187.0411901008115,-43.50408470044431,-0.019891753706951898,0.019891753706951898,0.6326728546667585,0.0011828818715691528,7.403868217783966e-05,0.9999980571842649
