N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
18,1402.9869153079114,2200.7887731415894,-797.801857833678,-0.3625072372096978,0.3625072372096978,2.925260706346539,0.005350770724317659,0.002415190450765989,0.9999685673232608
19,1402.9963736648306,2200.7887731415894,-797.7923994767589,-0.3625029394974255,0.3625029394974255,2.9251896966303246,0.005350640836164498,6.741585980553622e-06,0.9999685688492777
20,1405.7130203936517,2200.7887731415894,-795.0757527479377,-0.3612685426475437,0.3612685426475437,2.9076027359570364,0.0053184714660648716,0.0019363177124434644,0.9999689456567664
21,1405.832380251206,2200.7887731415894,-794.9563928903835,-0.36121430761190065,0.36121430761190065,2.906528031834831,0.005316505659960163,8.491054420250557e-05,0.9999689686090509
22,1408.0223118651445,2200.7887731415894,-792.7664612764449,-0.3602192409155123,0.3602192409155123,2.8850496355305686,0.005277218230330114,0.0015577473137638798,0.9999694255403919
23,1408.3561032116745,2200.7887731415894,-792.4326699299149,-0.3600675719545454,0.3600675719545454,2.8836999989673218,0.0052747495287215965,0.00023706396107306543,0.9999694541393843
24,1408.4411929311989,2200.7887731415894,-792.3475802103906,-0.3600289086713795,0.3600289086713795,2.8835197316925187,0.005274419790980794,6.0417758924986285e-05,0.9999694579582612
25,1408.7214985197775,2200.7887731415894,-792.067274621812,-0.3599015427051407,0.3599015427051407,2.8830462754906807,0.005273553763696954,0.0001990183118652068,0.9999694679870684
26,1409.9534122016962,2200.7887731415894,-790.8353609398932,-0.35934178263322786,0.35934178263322786,2.8765185862543703,0.005261613573755143,0.0008744905811497739,0.9999696060895096
27,1409.9913984960826,2200.7887731415894,-790.7973746455068,-0.3593245223241741,0.3593245223241741,2.876144770405508,0.005260929804648328,2.6941524491302977e-05,0.9999696139886325
28,1411.2014278226031,2200.7887731415894,-789.5873453189863,-0.3587747061213255,0.3587747061213255,2.8687634588538895,0.005247428202664006,0.0008581820625367879,0.999969769753261
29,1411.2035100178773,2200.7887731415894,-789.5852631237121,-0.3587737600081412,0.3587737600081412,2.868763301917141,0.005247427915601538,1.4754770177511523e-06,0.9999697697565685
30,1411.2485791438585,2200.7887731415894,-789.540193997731,-0.3587532813840537,0.3587532813840537,2.8687184502700718,0.005247345874749741,3.1936659497538395e-05,0.9999697707018298
31,1411.6208381660708,2200.7887731415894,-789.1679349755186,-0.3585841333827755,0.3585841333827755,2.868304101043117,0.0052465879635972676,0.00026377990930427024,0.9999697794336603
32,1411.602313049983,2200.7887731415894,-789.1864600916065,-0.3585925508721384,0.3585925508721384,2.8681881359701418,0.00524637584489066,1.3123294575280631e-05,0.9999697818772363
33,1411.5496586784075,2200.7887731415894,-789.239114463182,-0.3586164760994106,0.3586164760994106,2.8680650663094105,0.005246150730754247,3.730113721741632e-05,0.9999697844704096
34,1411.5428652678343,2200.7887731415894,-789.2459078737552,-0.35861956290658453,0.35861956290658453,2.8679748221119934,0.005245985659651856,4.8127322559588365e-06,0.9999697863718542
35,1411.5447841104822,2200.7887731415894,-789.2439890311073,-0.358618691017982,0.358618691017982,2.867971285868701,0.005245979191296046,1.359393820141857e-06,0.9999697864463615
36,1411.7194266036176,2200.7887731415894,-789.0693465379718,-0.3585393365177833,0.3585393365177833,2.8678508705616936,0.005245758932398063,0.00012372437282996625,0.9999697889834147
37,1411.7362433308854,2200.7887731415894,-789.0525298107041,-0.35853169529047746,0.35853169529047746,2.867813832578695,0.005245691183990309,1.1912230540159281e-05,0.9999697897637537
38,1411.8061346355216,2200.7887731415894,-788.9826385060678,-0.35849993790172247,0.35849993790172247,2.8676926529754785,0.00524546952707205,4.950733890018608e-05,0.9999697923167694
39,1411.8026545320931,2200.7887731415894,-788.9861186094963,-0.35850151919996925,0.35850151919996925,2.867691535762037,0.005245467483509587,2.4650009254985026e-06,0.9999697923403064
40,1411.8141465076765,2200.7887731415894,-788.974626633913,-0.35849629744687617,0.35849629744687617,2.8676668208511678,0.005245422275976033,8.139930567809095e-06,0.9999697928609879
41,1411.8439661185614,2200.7887731415894,-788.944807023028,-0.3584827479362422,0.3584827479362422,2.8676585260121694,0.005245407103385919,2.1121484693084784e-05,0.9999697930357382
42,1411.8948642585747,2200.7887731415894,-788.8939088830148,-0.3584596207099338,0.3584596207099338,2.867627350587702,0.0052453500785374346,3.6050825186574144e-05,0.9999697936925176
43,1411.9004424107002,2200.7887731415894,-788.8883307308893,-0.35845708609498417,0.35845708609498417,2.867620829236072,0.00524533814993999,3.950826840380738e-06,0.9999697938299034
44,1411.9405370661188,2200.7887731415894,-788.8482360754706,-0.3584388677834824,0.3584388677834824,2.8675620435381273,0.005245230621475642,2.8397650580951785e-05,0.9999697950683326
45,1411.940004205862,2200.7887731415894,-788.8487689357275,-0.3584391099058812,0.3584391099058812,2.8675611543439055,0.005245228994996881,3.773956784757104e-07,0.9999697950870651
46,1411.9430509526305,2200.7887731415894,-788.8457221889589,-0.35843772551733566,0.35843772551733566,2.867560693060831,0.005245228151236198,2.157844355678394e-06,0.9999697950967826
47,1411.974110966441,2200.7887731415894,-788.8146621751484,-0.3584236123892656,0.3584236123892656,2.8675531000358334,0.005245214262376385,2.199806414962601e-05,0.9999697952567418
48,1411.9756399070807,2200.7887731415894,-788.8131332345088,-0.3584229176653292,0.3584229176653292,2.867551845047146,0.005245211966800913,1.0828390037737571e-06,0.9999697952831801
49,1411.9717091934772,2200.7887731415894,-788.8170639481123,-0.3584247037129733,0.3584247037129733,2.8675380571936206,0.005245186746606749,2.783839531221391e-06,0.9999697955736421
50,1411.9741997235253,2200.7887731415894,-788.8145734180641,-0.3584235720595959,0.3584235720595959,2.8674808089578483,0.005245082030407155,1.7638668196529527e-06,0.9999697967796471
51,1411.9771164526173,2200.7887731415894,-788.8116566889721,-0.35842224674881296,0.35842224674881296,2.867468991710399,0.005245060414767374,2.0657099064504565e-06,0.999969797028589
52,1411.9924142244786,2200.7887731415894,-788.7963589171109,-0.35841529570832786,0.35841529570832786,2.86745605598593,0.005245036753253843,1.0834291634750644e-05,0.9999697973010917
53,1411.9937338689635,2200.7887731415894,-788.7950392726259,-0.35841469608491056,0.35841469608491056,2.8674549730289502,0.0052450347723519385,9.34597432444611e-07,0.9999697973239053
54,1412.0135196198391,2200.7887731415894,-788.7752535217503,-0.3584057057851066,0.3584057057851066,2.867368493924548,0.005244876588208181,1.4012633626485284e-05,0.9999697991456328
55,1412.0268705565281,2200.7887731415894,-788.7619025850613,-0.3583996393525385,0.3583996393525385,2.867288014153212,0.00524472937780624,9.455247066322999e-06,0.9999698008409318
56,1412.0410938248299,2200.7887731415894,-788.7476793167596,-0.3583931765477135,0.3583931765477135,2.867229647060373,0.005244622615037728,1.0072944501503978e-05,0.9999698020703999
57,1412.0394349962914,2200.7887731415894,-788.749338145298,-0.35839393029044375,0.35839393029044375,2.8672112974828226,0.005244589050719121,1.1747735570112726e-06,0.9999698024569177
58,1412.0397447059067,2200.7887731415894,-788.7490284356827,-0.3583937895638011,0.3583937895638011,2.8672043414620263,0.005244576327042098,2.193349616294599e-07,0.9999698026034393
59,1412.035260694539,2200.7887731415894,-788.7535124470505,-0.35839582702029055,0.35839582702029055,2.8671762354241617,0.005244524916593704,3.1755560596885744e-06,0.9999698031954618
60,1412.3034855572455,2200.7887731415894,-788.485287584344,-0.35827395032499837,0.35827395032499837,2.8650830433850354,0.005240696132834693,0.00018995620730791288,0.9999698472699333
61,1412.3199749153782,2200.7887731415894,-788.4687982262112,-0.3582664578485127,0.3582664578485127,2.8649586307639043,0.005240468562208445,1.1675506221826277e-05,0.9999698498885652
62,1412.3341930057654,2200.7887731415894,-788.454580135824,-0.3582599973964417,0.3582599973964417,2.8645398802739463,0.005239702600440456,1.006718777595355e-05,0.9999698587015727
