x,y
463.4785317142646,-459.2938680935207
463.39969337586,-461.5022622249062
463.3299661121578,-463.7109633194286
463.2470916719359,-465.91871099076815
462.99741865028994,-468.1143625565933
462.4703492746505,-470.23676686538545
461.01193754742246,-471.495237422651
459.1922748542997,-470.4351570445959
457.6802463512283,-468.83263593639657
456.22319932218954,-467.17126843470294
454.716848029465,-465.5633337815561
452.84142461455207,-464.7303199950071
451.4648220776541,-466.2376052467483
450.78925131478684,-468.331379236607
450.26647421736664,-470.4784531798469
449.7438233633178,-472.6255578584804
448.9286126822984,-474.6732615397775
447.25519141691694,-475.7628224306596
445.5651784509186,-474.3564813187839
444.32029192304395,-472.5306993085307
443.16763640767454,-470.64744775194896
442.0772365960014,-468.7254043947504
440.95844362349214,-466.8198211971233
439.78955597001396,-464.9488371713564
438.3645155992799,-463.2617419901023
436.48079727431167,-463.66305873454917
435.37641021667116,-465.5526753384253
434.47251612783145,-467.5691048796773
433.3602052689091,-469.45033178681933
431.5140720271834,-469.89316909038456
430.1221348276737,-468.23761916667485
429.061888204802,-466.30794238806374
428.1078441873028,-464.31469819105166
427.2478032637403,-462.27925505083095
426.3913364223743,-460.24219686432474
425.47078435975544,-458.233265228789
424.4350756084528,-456.2904171471486
422.954877683158,-454.8181991699269
421.29281473931735,-455.83289834599674
420.2618337077805,-457.77876441670657
419.25126479982043,-459.74367022534943
417.86391078556085,-461.42213520731053
416.0858472989569,-460.69515691008087
414.97284822456805,-458.78708343502495
414.17897258559964,-456.7248070505168
413.41117061690596,-454.65300622916095
412.68884344676985,-452.5645939433487
411.8909549568706,-450.5049369111211
410.9486810334365,-448.5218468405257
409.30507081642196,-447.6716482815891
407.9524063198621,-449.31055658670493
406.9780915530271,-451.29050005355134
406.03640319184933,-453.2889838673342
404.9930878830343,-455.22956397377294
403.3221991126616,-456.2808370607286
401.8974290029567,-454.78131981060113
401.0446272494234,-452.7521509740624
400.3391777168105,-450.6580609251816
399.6755717956853,-448.5502541034601
398.85746073265864,-446.50107972624033
397.440161720248,-444.9397906979111
395.88114538976623,-446.3241449156074
394.8174411371242,-448.26108985007494
393.8477957267823,-450.2463064360446
392.858855512781,-452.2214638217284
391.7816420057787,-454.1509283786922
390.23469120908396,-455.6677371688621
388.6614070379852,-454.3657636244355
387.8613068758635,-452.31531100898405
387.2730876539208,-450.1852388826499
386.70793446687867,-448.0489279756367
385.93651226361237,-445.9851244906867
384.34325326431167,-444.951161098728
382.82388231278105,-446.53888245125404
381.63274876604595,-448.40017858301013
380.49207410112285,-450.29267676447034
379.2953463641092,-452.147443977056
377.9167050074394,-453.84974211655714
376.1210413709991,-453.88883719839345
375.2590630596915,-451.91992846203635
374.8077096583557,-449.7609188166289
374.5004941431174,-447.5725767402055
374.1959144155581,-445.3838665460706
373.8074976512029,-443.21265575736317
373.00930028555507,-441.2209436867093
371.1692744044783,-441.35601003745944
369.64776065281063,-442.94235591491633
368.2023270053936,-444.613782654675
366.59594978053696,-446.1140455568552
364.77730679943477,-445.97506270530795
364.1991177274767,-443.8465614534295
364.0916523544931,-441.6393746444218
364.0443883906846,-439.43128756433566
364.0858065172305,-437.2218743039787
364.1244091207712,-435.01241263128327
364.15897383287415,-432.80288152787574
364.08584158897014,-430.5965579913215
363.78197788543935,-428.4305052387016
362.2453709626201,-427.44993678067004
360.4014122363105,-428.63228961283374
358.4721968971514,-429.5830160650871
357.2420805163067,-428.14301232373657
357.238467498544,-425.93321383465417
357.3820477580936,-423.73192564792197
357.64031405664485,-421.53726828621814
357.9413875750013,-419.3484949268733
358.28483853193876,-417.1655464949523
358.62544546980536,-414.9821601376846
358.9545993490994,-412.7970102252087
359.2669785069319,-410.60994557172296
359.4387209138535,-408.40682801654964
359.23081611125787,-406.22865706920385
357.4325714394174,-406.03386913059904
355.41811022120237,-406.7363974694461
354.612691603908,-404.95041242208316
354.83660542633964,-402.76367667743915
355.2094798873619,-400.5867439605174
355.7250280068312,-398.43792275977506
356.24361845985146,-396.2898730590311
356.8143530215828,-394.155046490831
357.3850875833142,-392.0202199226308
357.9324471713157,-389.8793205461446
358.47300358684566,-387.73665370832833
358.8582846460856,-385.5620428691444
358.70484001685617,-383.4116554618337
356.7700226350828,-384.2703425157353
354.92539444728845,-385.4857971813819
353.8274192007302,-384.2867853483514
354.2145699573212,-382.1249629593459
354.79203873181433,-379.9939016791579
355.46076593496724,-377.88771404648804
356.1545069506302,-375.7897143288061
356.86063346209374,-373.6957688266366
357.49802778307065,-371.5801584543637
